n,radio,puntos_dentro,proporcion,probabilidad_teorica,error_probabilidad,pi_estimado,error_pi
100,1.0,25,0.25,0.19634954084936207,0.05365045915063793,4.0,0.8584073464102069
1000,1.0,189,0.189,0.19634954084936207,0.007349540849362068,3.024,0.1175926535897931
10000,1.0,1945,0.1945,0.19634954084936207,0.0018495408493620635,3.112,0.029592653589793017
100000,1.0,19436,0.19436,0.19634954084936207,0.0019895408493620648,3.10976,0.031832653589793036
1000000,1.0,196517,0.196517,0.19634954084936207,0.0001674591506379275,3.144272,0.00267934641020684
100,1.4142135623730951,41,0.41,0.39269908169872425,0.017300918301275725,3.279999999999999,0.1384073464102058
1000,1.4142135623730951,407,0.407,0.39269908169872425,0.014300918301275722,3.255999999999999,0.11440734641020578
10000,1.4142135623730951,3939,0.3939,0.39269908169872425,0.0012009183012757219,3.151199999999999,0.009607346410205775
100000,1.4142135623730951,39276,0.39276,0.39269908169872425,6.091830127574749e-05,3.142079999999999,0.0004873464102059799
1000000,1.4142135623730951,392594,0.392594,0.39269908169872425,0.00010508169872425199,3.140751999999999,0.0008406535897940159
100,2.0,76,0.76,0.7853981633974483,0.02539816339744827,3.04,0.10159265358979308
1000,2.0,775,0.775,0.7853981633974483,0.010398163397448257,3.1,0.04159265358979303
10000,2.0,7820,0.782,0.7853981633974483,0.0033981633974482506,3.128,0.013592653589793002
100000,2.0,78461,0.78461,0.7853981633974483,0.0007881633974482494,3.13844,0.0031526535897929975
1000000,2.0,785588,0.785588,0.7853981633974483,0.000189836602551674,3.142352,0.000759346410206696
