casilla,N(x),|N(x)|
a1,"b3, c2",2
a2,"b4, c3, c1",3
a3,"b5, b1, c4, c2",4
a4,"b6, b2, c5, c3",4
a5,"b7, b3, c6, c4",4
a6,"b8, b4, c7, c5",4
a7,"b5, c8, c6",3
a8,"b6, c7",2
b1,"c3, a3, d2",3
b2,"c4, a4, d3, d1",4
b3,"c5, c1, a5, a1, d4, d2",6
b4,"c6, c2, a6, a2, d5, d3",6
b5,"c7, c3, a7, a3, d6, d4",6
b6,"c8, c4, a8, a4, d7, d5",6
b7,"c5, a5, d8, d6",4
b8,"c6, a6, d7",3
c1,"d3, b3, e2, a2",4
c2,"d4, b4, e3, e1, a3, a1",6
c3,"d5, d1, b5, b1, e4, e2, a4, a2",8
c4,"d6, d2, b6, b2, e5, e3, a5, a3",8
c5,"d7, d3, b7, b3, e6, e4, a6, a4",8
c6,"d8, d4, b8, b4, e7, e5, a7, a5",8
c7,"d5, b5, e8, e6, a8, a6",6
c8,"d6, b6, e7, a7",4
d1,"e3, c3, f2, b2",4
d2,"e4, c4, f3, f1, b3, b1",6
d3,"e5, e1, c5, c1, f4, f2, b4, b2",8
d4,"e6, e2, c6, c2, f5, f3, b5, b3",8
d5,"e7, e3, c7, c3, f6, f4, b6, b4",8
d6,"e8, e4, c8, c4, f7, f5, b7, b5",8
d7,"e5, c5, f8, f6, b8, b6",6
d8,"e6, c6, f7, b7",4
e1,"f3, d3, g2, c2",4
e2,"f4, d4, g3, g1, c3, c1",6
e3,"f5, f1, d5, d1, g4, g2, c4, c2",8
e4,"f6, f2, d6, d2, g5, g3, c5, c3",8
e5,"f7, f3, d7, d3, g6, g4, c6, c4",8
e6,"f8, f4, d8, d4, g7, g5, c7, c5",8
e7,"f5, d5, g8, g6, c8, c6",6
e8,"f6, d6, g7, c7",4
f1,"g3, e3, h2, d2",4
f2,"g4, e4, h3, h1, d3, d1",6
f3,"g5, g1, e5, e1, h4, h2, d4, d2",8
f4,"g6, g2, e6, e2, h5, h3, d5, d3",8
f5,"g7, g3, e7, e3, h6, h4, d6, d4",8
f6,"g8, g4, e8, e4, h7, h5, d7, d5",8
f7,"g5, e5, h8, h6, d8, d6",6
f8,"g6, e6, h7, d7",4
g1,"h3, f3, e2",3
g2,"h4, f4, e3, e1",4
g3,"h5, h1, f5, f1, e4, e2",6
g4,"h6, h2, f6, f2, e5, e3",6
g5,"h7, h3, f7, f3, e6, e4",6
g6,"h8, h4, f8, f4, e7, e5",6
g7,"h5, f5, e8, e6",4
g8,"h6, f6, e7",3
h1,"g3, f2",2
h2,"g4, f3, f1",3
h3,"g5, g1, f4, f2",4
h4,"g6, g2, f5, f3",4
h5,"g7, g3, f6, f4",4
h6,"g8, g4, f7, f5",4
h7,"g5, f8, f6",3
h8,"g6, f7",2
